Fecha,Estacion,Temperatura
2004-01-01,Pista Silla,11.89489
2004-01-02,Pista Silla,16.904993
2004-01-03,Pista Silla,14.054051
2004-01-04,Pista Silla,12.588562
2004-01-04,Viveros,13.557119
2004-01-06,Viveros,12.510897
2004-01-08,Pista Silla,19.150309
2004-01-08,Viveros,15.299011
2004-01-10,Pista Silla,11.706668
2004-01-14,Pista Silla,18.37554
2004-01-15,Viveros,13.312132
2004-01-16,Viveros,11.633378
2004-01-20,Pista Silla,18.227879
2004-01-20,Viveros,11.826532
2004-01-23,Pista Silla,18.649248
2004-01-23,Viveros,16.327589
2004-01-24,Pista Silla,11.496105
2004-01-24,Viveros,14.010485
2004-01-25,Pista Silla,17.616556
2004-01-29,Pista Silla,12.703235
2004-01-30,Viveros,18.662851
2004-01-31,Viveros,16.46956
2004-02-01,Viveros,18.72778
2004-02-02,Pista Silla,14.796707
2004-02-03,Viveros,17.848217
2004-02-04,Pista Silla,18.401854
2004-02-04,Viveros,14.347382
2004-02-05,Viveros,17.726583
2004-02-06,Pista Silla,18.217756
2004-02-07,Pista Silla,15.362177
2004-02-08,Viveros,16.188553
2004-02-09,Pista Silla,18.146168
2004-02-11,Pista Silla,18.614096
2004-02-12,Pista Silla,13.833375
2004-02-13,Pista Silla,17.478552
2004-02-13,Viveros,18.042345
2004-02-19,Viveros,18.853668
2004-02-20,Pista Silla,13.171389
2004-02-21,Viveros,17.453876
2004-02-23,Pista Silla,13.8578825
2004-02-24,Pista Silla,14.321822
2004-02-24,Viveros,17.708818
2004-02-25,Pista Silla,14.500499
2004-02-27,Viveros,18.385498
2004-02-29,Viveros,19.312628
2004-03-03,Pista Silla,17.574585
2004-03-04,Pista Silla,18.934954
2004-03-06,Viveros,17.457983
2004-03-08,Pista Silla,18.515707
2004-03-09,Viveros,18.795622
2004-03-11,Viveros,18.580364
2004-03-12,Viveros,18.79851
2004-03-13,Pista Silla,16.058357
2004-03-13,Viveros,18.497766
2004-03-14,Viveros,17.789553
2004-03-15,Pista Silla,15.8282795
2004-03-16,Viveros,18.41505
2004-03-20,Viveros,17.931435
2004-03-21,Pista Silla,18.766176
2004-03-22,Pista Silla,18.747715
2004-03-23,Viveros,17.249264
2004-03-27,Viveros,18.850897
2004-03-30,Pista Silla,17.221193
2004-04-04,Viveros,18.787865
2004-04-05,Viveros,18.774883
2004-04-09,Viveros,18.542648
2004-04-10,Pista Silla,18.853912
2004-04-10,Viveros,18.704065
2004-04-11,Pista Silla,18.792124
2004-04-12,Pista Silla,18.689993
2004-04-13,Viveros,19.654644
2004-04-16,Pista Silla,18.536356
2004-04-17,Viveros,19.10701
2004-04-20,Pista Silla,18.790081
2004-04-21,Pista Silla,21.444592
2004-04-21,Viveros,21.385767
2004-04-22,Pista Silla,22.264688
2004-04-25,Pista Silla,18.826447
2004-04-25,Viveros,21.759314
2004-04-26,Viveros,24.714151
2004-04-27,Viveros,18.513348
2004-04-28,Pista Silla,19.75148
2004-04-29,Viveros,18.474182
2004-04-30,Pista Silla,19.048035
2004-05-01,Pista Silla,18.802599
2004-05-01,Viveros,18.66666
2004-05-06,Pista Silla,22.690725
2004-05-06,Viveros,18.51268
2004-05-07,Viveros,20.836105
2004-05-08,Pista Silla,19.156647
2004-05-13,Viveros,23.003267
2004-05-14,Pista Silla,19.17589
2004-05-15,Viveros,22.063902
2004-05-16,Viveros,19.206615
2004-05-17,Viveros,23.164776
2004-05-20,Viveros,19.188122
2004-05-21,Pista Silla,24.20351
2004-05-22,Pista Silla,19.134201
2004-05-22,Viveros,24.539879
2004-05-24,Pista Silla,18.936302
2004-05-24,Viveros,19.737759
2004-05-25,Pista Silla,24.750511
2004-05-27,Viveros,24.962488
2004-05-28,Pista Silla,25.448658
2004-05-30,Pista Silla,27.441807
2004-06-01,Pista Silla,19.915222
2004-06-02,Viveros,23.734463
2004-06-03,Pista Silla,23.379812
2004-06-05,Pista Silla,19.184193
2004-06-05,Viveros,19.526617
2004-06-06,Viveros,18.588455
2004-06-07,Viveros,24.602213
2004-06-08,Viveros,18.811794
2004-06-09,Viveros,19.069891
2004-06-12,Viveros,25.464617
2004-06-13,Pista Silla,18.779085
2004-06-15,Viveros,25.514103
2004-06-16,Pista Silla,27.039312
2004-06-16,Viveros,19.752705
2004-06-19,Pista Silla,20.22213
2004-06-19,Viveros,18.146461
2004-06-22,Pista Silla,24.426203
2004-06-22,Viveros,18.813383
2004-06-23,Pista Silla,19.181875
2004-06-25,Viveros,25.276155
2004-06-26,Pista Silla,26.397556
2004-06-26,Viveros,27.504194
2004-06-27,Pista Silla,28.984028
2004-06-28,Viveros,19.838839
2004-06-30,Viveros,25.747257
2004-07-01,Pista Silla,26.714918
2004-07-03,Pista Silla,27.731201
2004-07-04,Pista Silla,28.500444
2004-07-07,Pista Silla,28.27602
2004-07-08,Viveros,29.018837
2004-07-09,Pista Silla,27.039196
2004-07-11,Pista Silla,20.236238
2004-07-13,Viveros,25.967545
2004-07-15,Viveros,26.101164
2004-07-19,Pista Silla,27.434969
2004-07-20,Pista Silla,27.191849
2004-07-20,Viveros,27.308107
2004-07-22,Viveros,20.065535
2004-07-23,Pista Silla,25.14721
2004-07-23,Viveros,18.844357
2004-07-24,Pista Silla,20.16865
2004-07-29,Pista Silla,18.25185
2004-07-29,Viveros,24.596312
2004-07-30,Viveros,18.858757
2004-07-31,Viveros,19.148897
2004-08-05,Pista Silla,19.155052
2004-08-05,Viveros,18.461008
2004-08-06,Viveros,19.13128
2004-08-07,Pista Silla,18.49028
2004-08-08,Pista Silla,18.910696
2004-08-11,Pista Silla,22.955297
2004-08-12,Pista Silla,23.584703
2004-08-12,Viveros,18.30339
2004-08-13,Pista Silla,19.622137
2004-08-14,Pista Silla,18.514072
2004-08-15,Pista Silla,19.04839
2004-08-17,Pista Silla,22.262316
2004-08-18,Pista Silla,18.450478
2004-08-19,Pista Silla,18.673449
2004-08-24,Pista Silla,19.199986
2004-08-24,Viveros,22.372044
2004-08-25,Pista Silla,23.987032
2004-08-26,Pista Silla,18.211586
2004-08-27,Pista Silla,20.825668
2004-08-29,Pista Silla,18.429602
2004-08-30,Pista Silla,20.368595
2004-08-30,Viveros,18.764055
2004-09-01,Pista Silla,18.558252
2004-09-03,Viveros,19.142109
2004-09-04,Pista Silla,18.449167
2004-09-04,Viveros,21.54132
2004-09-05,Pista Silla,18.353674
2004-09-05,Viveros,20.807648
2004-09-06,Viveros,21.895267
2004-09-07,Viveros,17.515726
2004-09-11,Viveros,19.20178
2004-09-18,Viveros,18.673811
2004-09-19,Viveros,18.85046
2004-09-20,Viveros,18.78974
2004-09-21,Pista Silla,14.597496
2004-09-22,Pista Silla,17.733223
2004-09-22,Viveros,14.045234
2004-09-24,Viveros,17.910786
2004-09-25,Viveros,18.317097
2004-09-27,Viveros,13.17611
2004-10-02,Pista Silla,17.488459
2004-10-03,Viveros,13.385697
2004-10-06,Viveros,17.861898
2004-10-07,Viveros,13.734813
2004-10-08,Pista Silla,17.847963
2004-10-09,Pista Silla,15.522438
2004-10-13,Viveros,13.521244
2004-10-14,Pista Silla,17.570187
2004-10-14,Viveros,13.724331
2004-10-16,Pista Silla,17.914911
2004-10-16,Viveros,13.800394
2004-10-17,Viveros,17.805086
2004-10-18,Viveros,18.125511
2004-10-19,Viveros,14.957195
2004-10-21,Pista Silla,18.08034
2004-10-21,Viveros,18.380573
2004-10-22,Pista Silla,18.720526
2004-10-23,Pista Silla,18.74237
2004-10-28,Pista Silla,13.991744
2004-10-29,Viveros,17.489122
2004-11-01,Viveros,14.750401
2004-11-04,Viveros,18.457232
2004-11-07,Viveros,13.183424
2004-11-08,Pista Silla,17.551348
2004-11-08,Viveros,17.720188
2004-11-11,Pista Silla,12.695144
2004-11-11,Viveros,10.332053
2004-11-14,Viveros,9.799973
2004-11-15,Pista Silla,17.662483
2004-11-15,Viveros,9.943454
2004-11-16,Pista Silla,18.504078
2004-11-16,Viveros,11.379537
2004-11-18,Pista Silla,18.680141
2004-11-20,Viveros,16.04612
2004-11-26,Pista Silla,12.105685
2004-11-29,Pista Silla,18.079676
2004-11-30,Viveros,12.463606
2004-12-01,Pista Silla,15.328876
2004-12-01,Viveros,13.054422
2004-12-06,Pista Silla,18.52483
2004-12-07,Viveros,11.795993
2004-12-09,Viveros,18.407715
2004-12-10,Pista Silla,13.006816
2004-12-10,Viveros,18.521309
2004-12-11,Viveros,17.119097
2004-12-13,Viveros,12.149916
2004-12-15,Viveros,17.736376
2004-12-16,Pista Silla,16.865685
2004-12-17,Viveros,18.887156
2004-12-20,Pista Silla,13.563861
2004-12-20,Viveros,17.441595
2004-12-21,Pista Silla,14.888034
2004-12-22,Viveros,18.573973
2004-12-24,Viveros,12.826897
2004-12-25,Pista Silla,10.033926
2004-12-26,Pista Silla,8.772397
2004-12-27,Pista Silla,17.20968
2004-12-27,Viveros,14.7139635
2004-12-28,Pista Silla,11.649139
2005-01-04,Viveros,18.509752
2005-01-05,Pista Silla,11.941906
2005-01-09,Viveros,18.6118
2005-01-10,Viveros,16.408098
2005-01-16,Pista Silla,12.146671
2005-01-16,Viveros,17.837791
2005-01-17,Pista Silla,14.02226
2005-01-19,Pista Silla,18.561983
2005-01-22,Pista Silla,14.149876
2005-01-26,Viveros,17.791365
2005-01-28,Pista Silla,16.90949
2005-01-31,Pista Silla,18.816813
2005-02-02,Pista Silla,18.155201
2005-02-04,Viveros,18.551544
2005-02-05,Viveros,15.262549
2005-02-07,Pista Silla,15.523478
2005-02-08,Viveros,18.0231
2005-02-09,Viveros,15.573761
2005-02-10,Viveros,18.524267
2005-02-11,Pista Silla,14.137651
2005-02-11,Viveros,17.686241
2005-02-12,Pista Silla,18.198435
2005-02-14,Viveros,18.754847
2005-02-16,Pista Silla,18.247536
2005-02-22,Pista Silla,18.612095
2005-02-23,Pista Silla,17.956402
2005-02-23,Viveros,16.91976
2005-02-27,Viveros,18.746845
2005-03-02,Pista Silla,18.6583
2005-03-02,Viveros,18.637135
2005-03-05,Pista Silla,18.772842
2005-03-05,Viveros,19.207066
2005-03-06,Viveros,18.676048
2005-03-11,Pista Silla,18.498774
2005-03-11,Viveros,18.935202
2005-03-14,Pista Silla,18.665802
2005-03-18,Viveros,18.762793
2005-03-19,Pista Silla,18.727697
2005-03-20,Viveros,20.351227
2005-03-22,Pista Silla,18.442272
2005-03-23,Viveros,20.030836
2005-03-27,Pista Silla,18.777132
2005-03-31,Viveros,17.935318
2005-04-03,Pista Silla,19.46682
2005-04-06,Pista Silla,18.463284
2005-04-06,Viveros,20.483751
2005-04-07,Pista Silla,18.445087
2005-04-08,Viveros,20.233408
2005-04-10,Pista Silla,18.811571
2005-04-14,Viveros,18.482998
2005-04-17,Viveros,21.056112
2005-04-19,Viveros,18.1762
2005-04-20,Pista Silla,21.49735
2005-04-21,Viveros,22.239162
2005-04-22,Pista Silla,21.689142
2005-04-23,Pista Silla,18.88786
2005-04-23,Viveros,21.806376
2005-04-25,Pista Silla,18.966515
2005-04-26,Viveros,21.792732
2005-04-28,Viveros,19.098286
2005-04-29,Pista Silla,21.599768
2005-05-01,Viveros,19.212952
2005-05-02,Pista Silla,22.7403
2005-05-09,Pista Silla,25.768984
2005-05-09,Viveros,13.117268
2005-05-12,Viveros,17.65701
2005-05-13,Viveros,17.71475
2005-05-14,Pista Silla,18.87043
2005-05-14,Viveros,18.754057
2005-05-15,Pista Silla,18.425936
2005-05-16,Viveros,18.898281
2005-05-17,Pista Silla,18.601652
2005-05-18,Pista Silla,18.802149
2005-05-20,Viveros,18.696949
2005-05-22,Pista Silla,13.208943
2005-05-22,Viveros,22.398628
2005-05-23,Pista Silla,20.141893
2005-05-23,Viveros,23.714077
2005-05-25,Viveros,19.573586
2005-05-26,Pista Silla,19.06443
2005-05-26,Viveros,19.076227
2005-05-28,Pista Silla,18.620909
2005-05-30,Pista Silla,19.080774
2005-06-01,Pista Silla,24.011396
2005-06-02,Viveros,14.643293
2005-06-03,Pista Silla,17.432976
2005-06-04,Viveros,15.45687
2005-06-05,Pista Silla,18.683462
2005-06-08,Viveros,18.741064
2005-06-11,Pista Silla,23.930252
2005-06-11,Viveros,18.82159
2005-06-17,Pista Silla,18.454243
2005-06-19,Pista Silla,19.497059
2022-03-24,Puerto llit antic Turia,25.49635
2005-06-20,Viveros,19.256302
2022-03-25,Pista Silla,24.700132
2005-06-22,Pista Silla,19.1002
2022-03-25,Politecnico,19.731136
2005-06-24,Viveros,18.635628
2022-03-25,Valencia Centro,18.930412
2005-06-26,Viveros,18.91987
2022-03-26,Avenida Francia,18.619
2005-06-28,Pista Silla,18.875463
2022-03-26,Puerto llit antic Turia,24.606756
2005-06-29,Pista Silla,18.782053
2022-03-27,Bulevard Sud,22.014738
2005-07-01,Pista Silla,19.14856
2022-03-27,Moli del Sol,22.68225
2005-07-01,Viveros,14.446212
2022-03-27,Pista Silla,21.187592
2005-07-03,Viveros,19.362085
2022-03-27,Valencia Centro,17.875587
2005-07-06,Pista Silla,14.94774
2022-03-27,Puerto Moll Tras Ponent,21.936256
2005-07-08,Viveros,19.41731
2022-03-27,Nazaret Meteo,17.952763
2005-07-10,Viveros,15.193942
2022-03-28,Pista Silla,22.249102
2005-07-14,Pista Silla,19.488012
2022-03-28,Politecnico,17.993391
2005-07-17,Viveros,19.744509
2022-03-28,Viveros,23.82045
2005-07-18,Pista Silla,19.10233
2022-03-28,Valencia Centro,18.416933
2005-07-19,Pista Silla,13.219065
2022-03-28,Valencia Olivereta,17.263538
2005-07-19,Viveros,12.771665
2022-03-29,Avenida Francia,21.3098
2005-07-22,Viveros,18.991678
2022-03-29,Pista Silla,23.412903
2005-07-25,Viveros,19.734426
2022-03-30,Avenida Francia,18.46937
2005-07-30,Pista Silla,13.41559
2022-03-30,Pista Silla,21.088718
2005-08-02,Pista Silla,13.39885
2022-03-30,Politecnico,17.39432
2005-08-03,Pista Silla,17.910868
2022-03-30,Conselleria Meteo,18.537561
2005-08-04,Pista Silla,18.903307
2022-03-31,Pista Silla,22.140482
2005-08-05,Viveros,18.654324
2022-03-31,Puerto llit antic Turia,18.3444
2005-08-06,Pista Silla,19.371742
2022-04-01,Valencia Centro,23.601013
2005-08-06,Viveros,13.549703
2022-04-01,Nazaret Meteo,17.334314
2005-08-07,Pista Silla,17.873363
2022-04-02,Avenida Francia,18.790682
2005-08-08,Viveros,18.736866
2022-04-02,Bulevard Sud,23.363579
2005-08-09,Pista Silla,18.726656
2022-04-02,Pista Silla,18.454039
2005-08-10,Viveros,13.504767
2022-04-02,Conselleria Meteo,17.294262
2005-08-11,Viveros,12.802706
2022-04-02,Puerto llit antic Turia,20.761276
2005-08-12,Pista Silla,18.680645
2022-04-02,Valencia Olivereta,18.20507
2005-08-14,Pista Silla,19.668018
2022-04-03,Politecnico,23.692451
2005-08-14,Viveros,19.028728
2022-04-03,Nazaret Meteo,18.369059
2005-08-15,Pista Silla,19.505959
2022-04-03,Puerto llit antic Turia,18.169744
2005-08-16,Viveros,19.233171
2022-04-04,Bulevard Sud,22.092796
2005-08-17,Viveros,18.592255
2022-04-04,Moli del Sol,18.479118
2005-08-21,Pista Silla,19.288486
2022-04-04,Pista Silla,24.639946
2005-08-23,Viveros,18.280176
2022-04-04,Politecnico,18.865551
2005-08-26,Pista Silla,19.314363
2022-04-04,Puerto Moll Tras Ponent,19.447174
2005-08-29,Viveros,19.03637
2022-04-05,Bulevard Sud,18.351551
2005-08-30,Viveros,19.094383
2022-04-05,Pista Silla,18.535248
2005-08-31,Pista Silla,18.87615
2022-04-05,Valencia Centro,21.669497
2005-09-05,Pista Silla,18.457462
2022-04-05,Puerto Moll Tras Ponent,18.58596
2005-09-05,Viveros,19.195082
2022-04-05,Puerto llit antic Turia,21.627764
2005-09-06,Pista Silla,18.89962
2022-04-05,Valencia Olivereta,18.307056
2005-09-06,Viveros,19.336937
2022-04-06,Politecnico,18.349478
2005-09-10,Pista Silla,19.079176
2022-04-06,Viveros,21.588306
2005-09-11,Viveros,18.503366
2022-04-06,Valencia Centro,18.549076
2005-09-12,Viveros,17.489895
2022-04-07,Moli del Sol,18.612917
2005-09-13,Pista Silla,17.567255
2022-04-07,Pista Silla,18.698715
2005-09-13,Viveros,18.622803
2022-04-07,Politecnico,18.574066
2005-09-16,Pista Silla,18.837996
2022-04-07,Conselleria Meteo,20.352505
2005-09-16,Viveros,15.513754
2022-04-08,Avenida Francia,18.02075
2005-09-18,Pista Silla,18.658648
2022-04-08,Moli del Sol,18.641039
2005-09-20,Viveros,18.799982
2022-04-08,Pista Silla,18.565767
2005-09-22,Viveros,13.798501
2022-04-08,Politecnico,17.410463
2005-09-23,Pista Silla,18.104422
2022-04-08,Viveros,21.096928
2005-09-23,Viveros,18.451355
2022-04-08,Valencia Centro,18.316608
2005-09-25,Pista Silla,19.258064
2022-04-08,Puerto llit antic Turia,16.385513
2005-09-26,Viveros,13.819063
2022-04-09,Avenida Francia,17.33801
2005-09-28,Viveros,14.732874
2022-04-09,Bulevard Sud,18.337845
2005-09-29,Pista Silla,14.0481
2022-04-09,Politecnico,17.691116
2005-10-03,Viveros,18.168737
2022-04-09,Conselleria Meteo,18.75218
2005-10-04,Pista Silla,18.74185
2022-04-09,Puerto Moll Tras Ponent,18.512236
2005-10-04,Viveros,14.114893
