Fecha,Estacion,Temperatura
2022-12-31,Avenida Francia,18.677032
2022-12-30,Avenida Francia,17.506887
2022-12-29,Avenida Francia,17.452826
2022-12-28,Avenida Francia,17.59764
2022-12-27,Avenida Francia,17.54906
2022-12-26,Avenida Francia,17.919657
2022-12-25,Avenida Francia,18.577843
2022-12-24,Avenida Francia,18.686684
2022-12-23,Avenida Francia,17.990097
2022-12-22,Avenida Francia,17.556318
2022-12-21,Avenida Francia,18.687288
2022-12-20,Avenida Francia,18.713657
2022-12-19,Avenida Francia,18.110184
2022-12-18,Avenida Francia,18.851501
2022-12-17,Avenida Francia,18.814316
2022-12-16,Avenida Francia,18.445217
2022-12-15,Avenida Francia,18.572899
2022-12-14,Avenida Francia,15.283064
2022-12-13,Avenida Francia,18.850576
2022-12-12,Avenida Francia,18.07406
2022-12-11,Avenida Francia,17.696201
2022-12-10,Avenida Francia,18.367697
2022-12-09,Avenida Francia,18.540298
2022-12-08,Avenida Francia,18.530657
2022-12-07,Avenida Francia,18.094551
2022-12-06,Avenida Francia,18.67478
2022-12-05,Avenida Francia,17.985226
2022-12-04,Avenida Francia,16.678644
2022-12-03,Avenida Francia,18.730598
2022-12-02,Avenida Francia,18.39048
2022-12-31,Bulevard Sud,17.501852
2022-12-30,Bulevard Sud,18.536959
2022-12-29,Bulevard Sud,18.627752
2022-12-28,Bulevard Sud,17.769398
2022-12-27,Bulevard Sud,19.255806
2022-12-26,Bulevard Sud,21.749155
2022-12-25,Bulevard Sud,18.51207
2022-12-24,Bulevard Sud,18.766434
2022-12-23,Bulevard Sud,18.530262
2022-12-22,Bulevard Sud,22.785456
2022-12-21,Bulevard Sud,17.594551
2022-12-20,Bulevard Sud,18.58283
2022-12-19,Bulevard Sud,18.801262
2022-12-18,Bulevard Sud,18.735569
2022-12-17,Bulevard Sud,17.482862
2022-12-16,Bulevard Sud,17.861265
2022-12-15,Bulevard Sud,15.950268
2022-12-14,Bulevard Sud,18.628874
2022-12-13,Bulevard Sud,18.809685
2022-12-12,Bulevard Sud,18.029972
2022-12-11,Bulevard Sud,17.778767
2022-12-10,Bulevard Sud,18.570105
2022-12-09,Bulevard Sud,17.805681
2022-12-08,Bulevard Sud,18.966179
2022-12-07,Bulevard Sud,18.435371
2022-12-06,Bulevard Sud,17.373787
2022-12-05,Bulevard Sud,18.603212
2022-12-04,Bulevard Sud,18.875723
2022-12-03,Bulevard Sud,18.337997
2022-12-02,Bulevard Sud,18.659372
2022-12-31,Conselleria Meteo,18.349537
2022-12-30,Conselleria Meteo,18.495623
2022-12-29,Conselleria Meteo,18.657303
2022-12-28,Conselleria Meteo,18.747286
2022-12-27,Conselleria Meteo,15.421509
2022-12-26,Conselleria Meteo,18.446932
2022-12-25,Conselleria Meteo,17.54641
2022-12-24,Conselleria Meteo,17.727663
2022-12-23,Conselleria Meteo,22.397213
2022-12-22,Conselleria Meteo,17.553139
2022-12-21,Conselleria Meteo,18.646265
2022-12-20,Conselleria Meteo,18.473814
2022-12-19,Conselleria Meteo,18.650372
2022-12-18,Conselleria Meteo,18.747307
2022-12-17,Conselleria Meteo,18.736557
2022-12-16,Conselleria Meteo,18.565292
2022-12-15,Conselleria Meteo,17.940903
2022-12-14,Conselleria Meteo,17.785965
2022-12-13,Conselleria Meteo,18.189781
2022-12-12,Conselleria Meteo,18.53672
2022-12-11,Conselleria Meteo,21.702312
2022-12-10,Conselleria Meteo,18.114817
2022-12-09,Conselleria Meteo,17.79291
2022-12-08,Conselleria Meteo,17.92919
2022-12-07,Conselleria Meteo,18.117544
2022-12-06,Conselleria Meteo,18.563349
2022-12-05,Conselleria Meteo,18.397905
2022-12-04,Conselleria Meteo,18.463497
2022-12-03,Conselleria Meteo,17.914644
2022-12-02,Conselleria Meteo,18.231531
2022-12-31,Moli del Sol,17.988564
2022-12-30,Moli del Sol,18.304085
2022-12-29,Moli del Sol,18.45975
